ruc,nombre,tipo,provincia,expediente,posicion_general,ingresos_ventas,ingresos_totales,activos,patrimonio,utilidad_neta,n_empleados,cod_segmento,ciiu_n1,ciiu_n6,ciiu_n1_desc,ciiu_n6_desc
0992340010001,NEGOC S.A.,ANÓNIMA,GUAYAS,114695,7823,2914823.26,2942755.56,2269907.04,1186358.43,245775.29,3.00,3,G,G4690.00,COMERCIO AL POR MAYOR Y AL POR MENOR REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.,VENTA AL POR MAYOR DE DIVERSOS PRODUCTOS SIN ESPECIALIZACIÓN.
0992726059001,VEINCUSTODIA CIA. LTDA.,RESPONSABILIDAD LIMITADA,GUAYAS,141208,7827,4030476.46,4030476.46,1478335.39,661346.07,250340.53,1.00,3,N,N8010.03,ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.,SERVICIOS DE GUARDIAS DE SEGURIDAD.
0990741409001,ELECTRICA HAMT COMPANIA LIMITADA,RESPONSABILIDAD LIMITADA,GUAYAS,26421,7828,2119467.84,2130722.65,2803890.84,1601559.45,33307.02,57.00,3,G,G4659.93,COMERCIO AL POR MAYOR Y AL POR MENOR REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.,"VENTA AL POR MAYOR DE EQUIPO ELÉCTRICO COMO: MOTORES ELÉCTRICOS, TRANSFORMADORES, (INCLUYE BOMBAS PARA LÍQUIDOS),  CABLES, CONMUTADORES Y DE OTROS TIPOS DE EQUIPO DE INSTALACIÓN DE USO INDUSTRIAL."
0190319784001,JORGE MUÑOZ E HIJOS CIA. LTDA.,RESPONSABILIDAD LIMITADA,AZUAY,32900,7829,3362101.11,3414810.66,1854082.60,1192897.24,241089.78,20.00,3,G,G4759.05,COMERCIO AL POR MAYOR Y AL POR MENOR REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.,"VENTA AL POR MENOR DE ELECTRODOMÉSTICOS EN ESTABLECIMIENTOS ESPECIALIZADOS: REFRIGERADORAS, COCINAS, MICROONDAS, ETCÉTERA."
1792467640001,CONSTRUCCIONES ROYAL S.A. CORSAL,ANÓNIMA,PICHINCHA,173147,7831,3783725.14,3787199.09,1748328.23,545568.26,366748.62,63.00,3,F,F4100.10,CONSTRUCCIÓN.,"CONSTRUCCIÓN DE TODO TIPO DE EDIFICIOS RESIDENCIALES: CASAS FAMILIARES INDIVIDUALES, EDIFICIOS MULTIFAMILIARES, INCLUSO EDIFICIOS DE ALTURAS ELEVADAS, VIVIENDAS PARA ANCIANATOS, CASAS PARA BENEFICENCIA, ORFANATOS, CÁRCELES, CUARTELES, CONVENTOS, CASAS RELIGIOSAS. INCLUYE REMODELACIÓN, RENOVACIÓN O REHABILITACIÓN DE ESTRUCTURAS EXISTENTES."
1793032656001,WORQ S.A.,ANÓNIMA,PICHINCHA,316142,7832,3568704.00,3578064.20,2100433.16,177000.54,40692.96,4.00,3,L,L6810.01,ACTIVIDADES INMOBILIARIAS.,"COMPRA - VENTA, ALQUILER Y EXPLOTACIÓN DE BIENES INMUEBLES PROPIOS O ARRENDADOS, COMO: EDIFICIOS DE APARTAMENTOS Y VIVIENDAS; EDIFICIOS NO RESIDENCIALES, INCLUSO SALAS DE EXPOSICIONES; INSTALACIONES PARA ALMACENAJE, CENTROS COMERCIALES Y TERRENOS; INCLUYE EL ALQUILER DE CASAS Y APARTAMENTOS AMUEBLADOS O SIN AMUEBLAR POR PERÍODOS LARGOS, EN GENERAL POR MESES O POR AÑOS."
1793199294001,MAKONDE S.A.S.,SOCIEDAD POR ACCIONES SIMPLIFICADA,PICHINCHA,338776,7836,4129091.17,4129091.17,1659240.48,15271.37,5500.66,29.00,3,G,G4661.03,COMERCIO AL POR MAYOR Y AL POR MENOR REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.,"VENTA AL POR MAYOR DE COMBUSTIBLES LÍQUIDOS NAFTA, GASOLINA, BIOCOMBUSTIBLE INCLUYE GRASAS, LUBRICANTES Y ACEITES, GASES LICUADOS DE PETRÓLEO, BUTANO Y PROPANO."
1792758122001,MAGNA PACIFIC TEXTILETRADING CIA.LTDA.,RESPONSABILIDAD LIMITADA,PICHINCHA,712099,7839,3341075.71,3341075.71,2241236.56,308476.64,52929.25,10.00,3,G,G4610.01,COMERCIO AL POR MAYOR Y AL POR MENOR REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.,"INTERMEDIARIOS DEL COMERCIO DE MATERIAS PRIMAS AGRARIAS, ANIMALES VIVOS, MATERIAS PRIMAS TEXTILES Y PRODUCTOS SEMIELABORADOS."
0190482367001,INDUSTRIAPC CIA.LTDA.,RESPONSABILIDAD LIMITADA,AZUAY,725776,7840,3224231.43,3224231.43,2355149.13,287362.31,53762.13,59.00,3,C,C2511.01,INDUSTRIAS MANUFACTURERAS.,"FABRICACIÓN DE ESTRUCTURAS DE METAL MARCOS O ARMAZONES PARA CONSTRUCCIÓN Y PARTES DE ESAS ESTRUCTURAS: TORRES, MÁSTILES, ARMADURAS, PUENTES, ETCÉTERA; MARCOS INDUSTRIALES DE METAL: MARCOS PARA ALTOS HORNOS, EQUIPOS DE ELEVACIÓN Y MANIPULACIÓN, ETCÉTERA."
0992294949001,MUNDOGLOBAL S.A.,ANÓNIMA,GUAYAS,111528,7841,2860091.73,2860091.73,2188352.61,1443208.12,177414.25,34.00,3,H,H4923.01,TRANSPORTE Y ALMACENAMIENTO.,"TODAS LAS ACTIVIDADES DE TRANSPORTE DE CARGA POR CARRETERA, INCLUIDO EN CAMIONETAS DE: TRONCOS, GANADO, TRANSPORTE REFRIGERADO, CARGA PESADA, CARGA A GRANEL, INCLUIDO EL TRANSPORTE EN CAMIONES CISTERNA, AUTOMÓVILES, DESPERDICIOS Y MATERIALES DE DESECHO, SIN RECOGIDA NI ELIMINACIÓN."
1791908104001,THB RE INTERMEDIARIO DE REASEGUROS S.A.,ANÓNIMA,PICHINCHA,600680,7842,3138982.87,3149404.34,2086693.96,1090447.29,655297.45,17.00,3,K,K6622.00,ACTIVIDADES FINANCIERAS Y DE SEGUROS.,"ACTIVIDADES DE AGENTES Y CORREDORES DE SEGUROS (INTERMEDIARIOS DE SEGUROS) QUE VENDEN, NEGOCIAN U OFERTAN CONTRATOS DE ANUALIDADES Y PÓLIZAS DE SEGUROS Y REASEGUROS."
1791433564001,REINGENIERIA ZIEBELL CIA. LTDA.,RESPONSABILIDAD LIMITADA,PICHINCHA,87793,7846,3603400.98,3604555.02,1854720.89,642175.73,136109.39,4.00,3,G,G4663.21,COMERCIO AL POR MAYOR Y AL POR MENOR REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.,"VENTA AL POR MAYOR DE ARTÍCULOS DE FERRETERÍAS Y CERRADURAS: MARTILLOS, SIERRAS, DESTORNILLADORES, Y OTRAS HERRAMIENTAS DE MANO, ACCESORIOS Y DISPOSITIVOS; CAJAS FUERTES, EXTINTORES."
1793204565001,VERDEPAMBA S.A.S.,SOCIEDAD POR ACCIONES SIMPLIFICADA,PICHINCHA,749174,7849,2033128.40,2033128.40,3500866.82,113120.90,11358.37,4.00,3,F,F4100.10,CONSTRUCCIÓN.,"CONSTRUCCIÓN DE TODO TIPO DE EDIFICIOS RESIDENCIALES: CASAS FAMILIARES INDIVIDUALES, EDIFICIOS MULTIFAMILIARES, INCLUSO EDIFICIOS DE ALTURAS ELEVADAS, VIVIENDAS PARA ANCIANATOS, CASAS PARA BENEFICENCIA, ORFANATOS, CÁRCELES, CUARTELES, CONVENTOS, CASAS RELIGIOSAS. INCLUYE REMODELACIÓN, RENOVACIÓN O REHABILITACIÓN DE ESTRUCTURAS EXISTENTES."
1790868044001,INSTRUMENTAL Y OPTICA REPRESENTACIONES MIGUEL PAZMINO CIA. LTDA.,RESPONSABILIDAD LIMITADA,PICHINCHA,18075,7850,2157190.22,2157637.57,2955413.39,1123299.69,22016.80,12.00,3,G,G4773.11,COMERCIO AL POR MAYOR Y AL POR MENOR REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.,"VENTA AL POR MENOR DE EQUIPO FOTOGRÁFICO Y DE PRECISIÓN, EN ESTABLECIMIENTOS ESPECIALIZADOS."
0992844728001,ALMACENES SUINTOF S.A.,ANÓNIMA,GUAYAS,174477,7851,2055002.85,2055002.85,3414014.21,268681.27,24158.41,4.00,3,G,G4649.21,COMERCIO AL POR MAYOR Y AL POR MENOR REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.,"VENTA AL POR MAYOR DE PRODUCTOS DE PERFUMERÍA, COSMÉTICOS (PRODUCTOS DE BELLEZA) ARTÍCULOS DE USO PERSONAL (JABONES)."
0992770236001,SOLUCIONES INTEGRALES DE SERVICIOS MASIVOS SOISEM S.A. SOISEMSA,ANÓNIMA,GUAYAS,148402,7852,2972621.27,3050073.36,2341127.58,834468.29,43537.31,77.00,3,E,E3600.01,"DISTRIBUCIÓN DE AGUA ALCANTARILLADO, GESTIÓN DE DESECHOS Y ACTIVIDADES DE SANEAMIENTO.","ACTIVIDADES DE CAPTACIÓN DE AGUA DE: RÍOS, LAGOS, POZOS, LLUVIA ETCÉTERA; PURIFICACIÓN DE AGUA PARA SU DISTRIBUCIÓN; TRATAMIENTO DE AGUA PARA USO INDUSTRIAL Y OTROS USOS; DISTRIBUCIÓN DE AGUA POR MEDIO DE: TUBERÍAS, CAMIONES (TANQUEROS) U OTROS MEDIOS, A USUARIOS RESIDENCIALES, COMERCIALES, INDUSTRIALES Y DE OTRO TIPO."
1792003350001,VIALDENTAL GENERAL SERVICES CIA. LTDA.,RESPONSABILIDAD LIMITADA,PICHINCHA,154259,7853,3474123.78,3487082.68,1968176.23,645719.44,23115.41,22.00,3,G,G4649.24,COMERCIO AL POR MAYOR Y AL POR MENOR REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.,"VENTA AL POR MAYOR DE INSTRUMENTOS, MATERIALES MÉDICOS Y QUIRÚRGICOS, DENTALES Y ARTÍCULOS ORTOPÉDICOS."
0992833351001,CREACION DE PROYECTOS NEW CREATIONS S.A.,ANÓNIMA,GUAYAS,173217,7855,4154665.88,4305323.97,1620940.37,15215.35,-1970.48,48.00,3,M,M7310.04,"ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.","REALIZACIÓN DE CAMPAÑAS DE COMERCIALIZACIÓN Y OTROS SERVICIOS DE PUBLICIDAD DIRIGIDOS A ATRAER Y RETENER CLIENTES: PROMOCIÓN DE PRODUCTOS, COMERCIALIZACIÓN EN EL PUNTO DE VENTA, PUBLICIDAD DIRECTA POR CORREO Y ASESORAMIENTO EN MARKETING, CREACIÓN DE STANDS, OTRAS ESTRUCTURAS Y LUGARES DE EXHIBICIÓN, DISTRIBUCIÓN O ENTREGA DE MATERIALES O MUESTRAS DE PUBLICIDAD."
0992802294001,RISK PROTECTION RISKPRO S.A.,ANÓNIMA,GUAYAS,168161,7862,3396608.38,3409661.68,1808427.98,1161342.54,173221.67,88.00,3,M,M7490.21,"ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.",ACTIVIDADES DE CONSULTORÍA DE SEGURIDAD.
0992876824001,GILBERT & BOLOÑA S.A. SEGUGILBO,ANÓNIMA,GUAYAS,601210,7863,4607074.93,4607074.93,961941.19,576917.50,279803.79,41.00,3,K,K6622.00,ACTIVIDADES FINANCIERAS Y DE SEGUROS.,"ACTIVIDADES DE AGENTES Y CORREDORES DE SEGUROS (INTERMEDIARIOS DE SEGUROS) QUE VENDEN, NEGOCIAN U OFERTAN CONTRATOS DE ANUALIDADES Y PÓLIZAS DE SEGUROS Y REASEGUROS."
1791769937001,SERVICIOS INDUSTRIALES DE VAPOR SERVIVAPOR CIA. LTDA.,RESPONSABILIDAD LIMITADA,PICHINCHA,90733,7864,2402821.58,2402821.58,2493330.73,1656390.55,18461.45,4.00,3,G,G4659.22,COMERCIO AL POR MAYOR Y AL POR MENOR REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.,VENTA AL POR MAYOR DE MAQUINARÍA PARA LA MINERÍA Y CONSTRUCCIÓN; INCLUYE PARTES Y PIEZAS.
0992871040001,INTENERGY CIA. LTDA.,RESPONSABILIDAD LIMITADA,GUAYAS,179584,7866,3529558.29,3529558.29,1853350.75,768067.71,95126.96,4.00,3,F,F4321.01,CONSTRUCCIÓN.,"INSTALACIÓN DE ACCESORIOS ELÉCTRICOS, LÍNEAS DE TELECOMUNICACIONES, REDES INFORMÁTICAS Y LÍNEAS DE TELEVISIÓN POR CABLE, INCLUIDAS LÍNEAS DE FIBRA ÓPTICA, ANTENAS PARABÓLICAS. INCLUYE CONEXIÓN DE APARATOS ELÉCTRICOS, EQUIPO DOMÉSTICO Y SISTEMAS DE CALEFACCIÓN RADIANTE."
0992712481001,ROMPECABEZAS (RPKBZS) S.A.,ANÓNIMA,GUAYAS,136949,7867,2890026.98,2890026.98,2572678.69,439196.39,-80398.02,11.00,3,M,M7310.02,"ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.","CREACIÓN Y COLOCACIÓN DE ANUNCIOS DE PUBLICIDAD AL AIRE LIBRE EN: CARTELES, TABLEROS, BOLETINES Y CARTELERAS, DECORACIÓN DE ESCAPARATES, DISEÑO DE SALAS DE EXHIBICIÓN, COLOCACIÓN DE ANUNCIOS EN AUTOMÓVILES Y BUSES, ACTIVIDADES DE PERIFONEO, ETCÉTERA."
1791260880001,FLORES MAGICAS FLORMAGIC CIA. LTDA.,RESPONSABILIDAD LIMITADA,PICHINCHA,51928,7868,2408789.36,2436667.31,2465504.13,1701234.28,-7783.13,117.00,3,A,A0119.03,"AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.","CULTIVO DE FLORES, INCLUIDA LA PRODUCCIÓN DE FLORES CORTADAS Y CAPULLOS."
1792959853001,NETCITY SOLUTION PROVIDER NETSOPRO S.A.,ANÓNIMA,PICHINCHA,313038,7870,3845677.83,3847220.82,1490827.01,941420.84,791420.84,14.00,3,J,J6130.01,INFORMACIÓN Y COMUNICACIÓN.,"ACTIVIDADES DE OPERACIÓN, MANTENIMIENTO O FACILITACIÓN DEL ACCESO A SERVICIOS DE TRANSMISIÓN DE VOZ, DATOS, TEXTO, SONIDO Y VÍDEO UTILIZANDO UNA INFRAESTRUCTURA DE TELECOMUNICACIONES POR SATÉLITE, ACTIVIDADES DE SUMINISTRO DE ACCESO A INTERNET POR EL OPERADOR DE LA INFRAESTRUCTURA DE TELECOMUNICACIONES POR SATÉLITE."
1792385369001,BRAUSUPPLIES CIA. LTDA.,RESPONSABILIDAD LIMITADA,PICHINCHA,148572,7871,3520216.74,3520216.74,2071620.94,273315.36,97994.53,8.00,3,C,C1103.01,INDUSTRIAS MANUFACTURERAS.,"ELABORACIÓN DE BEBIDAS MALTEADAS COMO: CERVEZAS CORRIENTES DE FERMENTACIÓN ALTA, NEGRAS Y FUERTES, INCLUIDA CERVEZA DE BAJA GRADUACIÓN O SIN ALCOHOL."
0992317272001,CORPMASTER S.A.,ANÓNIMA,GUAYAS,113177,7872,2659793.34,2659793.34,2541207.40,992258.56,68062.69,2.00,3,G,G4659.94,COMERCIO AL POR MAYOR Y AL POR MENOR REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.,VENTA AL POR MAYOR DE EQUIPO MÉDICO Y EQUIPO DE LABORATORIO.
